field_position_id,surface,message,message_variant,protocol,field_path,parent_path,field_name,field_kind,presence,cardinality,data_type,standard_document,standard_version,standard_reference,charging_relevance,relevance_reason,constraint_ids,scenario_ids,review_status
FP-0003,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.authDefQos.5qi,SmPolicyDecision.sessRules.authDefQos,5qi,OpenAPI leaf field,O/C,,5Qi (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,Directly mapped to charging-threat candidate(s): T1-A25.,T1-R09,T1-A25,REVIEWED
FP-0007,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.authDefQos.priorityLevel,SmPolicyDecision.sessRules.authDefQos,priorityLevel,OpenAPI leaf field,O/C,,5QiPriorityLevelRm (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DEPLOYMENT,"Charging effect depends on tariff, feature, or deployment conditions; candidate(s): T1-A27.",T1-R09,T1-A27,REVIEWED
FP-0008,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.authDefQos.averWindow,SmPolicyDecision.sessRules.authDefQos,averWindow,OpenAPI leaf field,O/C,,AverWindowRm (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DEPLOYMENT,"Charging effect depends on tariff, feature, or deployment conditions; candidate(s): T1-A27.",T1-R09,T1-A27,REVIEWED
FP-0009,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.authDefQos.maxDataBurstVol,SmPolicyDecision.sessRules.authDefQos,maxDataBurstVol,OpenAPI leaf field,O/C,,MaxDataBurstVolRm (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DEPLOYMENT,"Charging effect depends on tariff, feature, or deployment conditions; candidate(s): T1-A27.",T1-R09,T1-A27,REVIEWED
FP-0010,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.authDefQos.maxbrUl,SmPolicyDecision.sessRules.authDefQos,maxbrUl,OpenAPI leaf field,O/C,,BitRateRm (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DEPLOYMENT,"Charging effect depends on tariff, feature, or deployment conditions; candidate(s): T1-A27.",T1-R09,T1-A27,REVIEWED
FP-0011,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.authDefQos.maxbrDl,SmPolicyDecision.sessRules.authDefQos,maxbrDl,OpenAPI leaf field,O/C,,BitRateRm (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DEPLOYMENT,"Charging effect depends on tariff, feature, or deployment conditions; candidate(s): T1-A27.",T1-R09,T1-A27,REVIEWED
FP-0012,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.authDefQos.gbrUl,SmPolicyDecision.sessRules.authDefQos,gbrUl,OpenAPI leaf field,O/C,,BitRateRm (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DEPLOYMENT,"Charging effect depends on tariff, feature, or deployment conditions; candidate(s): T1-A27.",T1-R09,T1-A27,REVIEWED
FP-0013,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.authDefQos.gbrDl,SmPolicyDecision.sessRules.authDefQos,gbrDl,OpenAPI leaf field,O/C,,BitRateRm (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DEPLOYMENT,"Charging effect depends on tariff, feature, or deployment conditions; candidate(s): T1-A27.",T1-R09,T1-A27,REVIEWED
FP-0014,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.authDefQos.extMaxDataBurstVol,SmPolicyDecision.sessRules.authDefQos,extMaxDataBurstVol,OpenAPI leaf field,O/C,,ExtMaxDataBurstVolRm (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DEPLOYMENT,"Charging effect depends on tariff, feature, or deployment conditions; candidate(s): T1-A27.",T1-R09,T1-A27,REVIEWED
FP-0015,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.sessRuleId,SmPolicyDecision.sessRules,sessRuleId,OpenAPI leaf field,M,,string,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",RELATIONAL,Charging relevance arises through cross-field/state or parser/representation relations; candidate(s): T1-A01.,T1-R01,T1-A01,REVIEWED
