constraint_id,surface,message,constraint_name,left_paths,right_paths,relation_type,standard_basis,charging_relevance,scenario_ids
T1-R01,T1,SmPolicyDecision,Map key equals embedded object ID,"sessRules{key}, pccRules{key}, qosDecs{key}, chgDecs{key}, traffContDecs{key}, umDecs{key}, qosMonDecs{key}, conds{key}",*.sessRuleId / *.pccRuleId / *.qosId / *.chgId / *.tcId / *.umId / *.qmId / *.condId,identity,TS 29.512 §5.6.2 and Annex A,RELATIONAL,T1-A01 | T1-A12 | T1-A35
T1-R02,T1,SmPolicyDecision,PCC reference integrity,pccRules.refQosData/refAltQosParams/refTcData/refChgData/refChgN3gData/refUmData/refUmN3gData/refCondData/refQosMon,qosDecs/qosChars/traffContDecs/chgDecs/umDecs/conds/qosMonDecs object keys,reference,TS 29.512 SmPolicyDecision/PccRule data types,DIRECT,T1-A02 | T1-A03 | T1-A04 | T1-A26 | T1-A38
T1-R03,T1,SmPolicyDecision,Session-rule reference integrity,sessRules.refUmData/refUmN3gData/refCondData,umDecs/conds object keys,reference,TS 29.512 SessionRule/UsageMonitoringData,DIRECT,T1-A24 | T1-A38 | T1-A41
T1-R04,T1,SmPolicyDecision,PCC flow scope bound to charging object,pccRules.flowInfos/appId/appDescriptor/precedence,pccRules.refChgData/refUmData and referenced chgDecs/umDecs,authorization,"TS 29.512 PccRule, ChargingData, UsageMonitoringData; TS 23.503 PCC semantics",DIRECT,T1-A03 | T1-A04 | T1-A05 | T1-A06 | T1-A07 | T1-A08 | T1-A10 | T1-A11 | T1-A12 | T1-A13 | T1-A14 | T1-A18 | T1-A24 | T1-A40
T1-R05,T1,SmPolicyDecision,Deterministic precedence for overlapping PCC selectors,pccRules.precedence/packFiltAllPrec,pccRules.flowInfos and competing pccRules,ordering,TS 29.512 PccRule precedence semantics,DIRECT,T1-A05 | T1-A06 | T1-A09
T1-R06,T1,SmPolicyDecision,Policy condition lifecycle,conds.activationTime/accessType/ratType,conds.deactivationTime and referencing rules,lifecycle,TS 29.512 ConditionData,DEPLOYMENT,T1-A28 | T1-A29 | T1-A39
T1-R07,T1,SmPolicyDecision,Current/next usage-threshold continuity,umDecs.volumeThreshold/timeThreshold/monitoringTime,umDecs.nextVolThreshold*/nextTimeThreshold/inactivityTime,monotonicity,TS 29.512 UsageMonitoringData; TS 23.503 usage monitoring,DIRECT,T1-A21 | T1-A22 | T1-A23 | T1-A41
T1-R08,T1,SmPolicyDecision,Metering method and charging-mode consistency,chgDecs.meteringMethod/reportingLevel,chgDecs.online/offline and SmPolicyDecision.online/offline/offlineChOnly,semantic,TS 29.512 ChargingData; TS 23.503 charging control,DIRECT,T1-A15 | T1-A16 | T1-A17 | T1-A18
T1-R09,T1,SmPolicyDecision,QoS/5QI bound to authorized tariff context,"sessRules.authDefQos.5qi, qosDecs.5qi, qosChars.5qi",referenced PCC/charging data and roaming tariff map,context-binding,TS 29.512 QoS data; deployment tariff mapping,DEPLOYMENT,T1-A02 | T1-A25 | T1-A26 | T1-A27
T1-R10,T1,SmPolicyDecision,Sponsor and AF charging correlation,chgDecs.sponsorId/appSvcProvId/afChargingIdentifier/afChargId,pccRules.appId/appDescriptor and AF session context,attribution,TS 29.512 ChargingData/PccRule,DEPLOYMENT,T1-A10 | T1-A19 | T1-A20
T1-R11,T1,SmPolicyDecision,CHF address/set/instance coherence,chargingInfo.primary/secondaryChfAddress,primary/secondaryChfSetId and InstanceId,routing-context,TS 29.512 ChargingInformation,DIRECT,T1-A30 | T1-A31
T1-R12,T1,SmPolicyDecision,Association and freshness across Create/Update/Notify,SmPolicyDecision content and nullable/removable members,"SM policy association ID, request/update order, last accepted decision",freshness,TS 29.512 Create/Update/UpdateNotify procedures,DIRECT,T1-A04 | T1-A11 | T1-A32 | T1-A34 | T1-A35 | T1-A36 | T1-A37 | T1-A38
T1-R13,T1,SmPolicyDecision,Decision bound to predecessor subscription/session context,SmPolicyDecision charging-relevant fields,"SUPI, DNN, S-NSSAI, PDU session and subscription constraints from request/E0",derivation,TS 23.503 policy derivation; TS 29.512 association context,DIRECT,T1-A33 | T1-A39
T2-R01,T2,PFCP Session Establishment/Modification Request,PFCP header bound to target session,PFCP Header.S/seid/messageType,"CP F-SEID, local PFCP session state and operation type",context-binding,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A01
T2-R02,T2,PFCP Session Establishment/Modification Request,PFCP transaction freshness and at-most-once,PFCP Header.sequenceNumber/FO,peer transaction window and previously committed operation set,freshness,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A02
T2-R03,T2,PFCP Session Establishment/Modification Request,Node-ID and CP F-SEID ownership,"Node ID, CP F-SEID.SEID/IP",PFCP association peer identity and SMF session owner,attribution,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A03
T2-R04,T2,PFCP rule graph,PDR-ID uniqueness and lifecycle,Create/Update/Remove PDR.PDR ID,active PDR set in PFCP session,uniqueness,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A05
T2-R05,T2,PFCP rule graph,Deterministic PDI selector and precedence,PDR.PDI selectors,PDR.Precedence and competing PDRs,ordering,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A06 | T2-A07 | T2-A08 | T2-A09 | T2-A10 | T2-A11 | T2-A12 | T2-A13 | T2-A14 | T2-A15 | T2-A16 | T2-A17 | T2-A19 | T2-A20 | T2-A50 | T2-A60
T2-R06,T2,PFCP rule graph,PDR-to-FAR reference integrity,PDR.FAR ID,active FAR IDs and FAR apply action,reference,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",RELATIONAL,T2-A21 | T2-A56 | T2-A57
T2-R07,T2,PFCP rule graph,PDR-to-URR references and authorized multiplicity,PDR.URR ID[],active URR IDs and charging-purpose mapping,reference/uniqueness,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A22 | T2-A23 | T2-A24 | T2-A25
T2-R08,T2,PFCP rule graph,PDR-to-QER/QFI context binding,PDR.QER ID[] and PDI.QFI,active QER IDs/QER.QFI and authorized QoS context,reference/context,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DEPLOYMENT,T2-A14 | T2-A26 | T2-A58
T2-R09,T2,PFCP rule graph,PDR-to-Traffic-Endpoint/MAR reference integrity,PDR.PDI.Traffic Endpoint ID / PDR.MAR ID,active Traffic Endpoint/MAR objects,reference,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DEPLOYMENT,T2-A15 | T2-A27 | T2-A59 | T2-A60 | T2-A61 | T2-A63
T2-R10,T2,PFCP rule graph,URR-ID uniqueness and lifecycle,Create/Update/Remove/Query URR.URR ID,active URR state and accumulated counters,uniqueness/freshness,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A25 | T2-A28
T2-R11,T2,PFCP URR,Measurement method and unit consistency,URR.Measurement Method.EVENT/VOLUM/DURAT,configured thresholds/quotas and downstream report units,semantic,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A29 | T2-A30 | T2-A35 | T2-A36 | T2-A44
T2-R12,T2,PFCP URR,Reporting-trigger and condition-IE consistency,URR.Reporting Triggers bits,"Volume/Time/Event Threshold/Quota, period, monitoring time, inactivity fields",presence/semantic,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A31 | T2-A32 | T2-A33 | T2-A34 | T2-A35 | T2-A36 | T2-A43 | T2-A45
T2-R13,T2,PFCP URR,Current/subsequent threshold and monitoring-time continuity,Monitoring Time/Additional Monitoring Time,Subsequent Volume/Time/Event Threshold/Quota,monotonicity,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A33 | T2-A34 | T2-A35 | T2-A36 | T2-A37 | T2-A38 | T2-A44
