scenario_id,surface,message,scenario_name,field_patterns,matched_field_count,matched_field_examples,field_mapping_mode,constraint_ids,attacker_nf,violated_invariants,candidate_class,implementation_priority,testbed_support_expectation,initial_validation_status,standard_basis,required_evidence,recommended_workload
T1-A01,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Policy object map-key / embedded-ID mismatch,SmPolicyDecision\.(sessRules|pccRules|qosDecs|chgDecs|traffContDecs|umDecs|qosMonDecs|conds)\..*(sessRuleId|pccRuleId|qosId|chgId|tcId|umId|qmId|condId)$,8,SmPolicyDecision.sessRules.sessRuleId | SmPolicyDecision.pccRules.pccRuleId | SmPolicyDecision.qosDecs.qosId | SmPolicyDecision.chgDecs.chgId | SmPolicyDecision.traffContDecs.tcId | SmPolicyDecision.umDecs.umId | SmPolicyDecision.qosMonDecs.qmId | SmPolicyDecision.conds.condId,FIELD_AND_RELATION,T1-R01,V-PCF,"Sem,Ctx,Uniq",STRUCTURAL,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A02,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Foreign QoS reference substitution,SmPolicyDecision\.pccRules\.ref(QosData|AltQosParams)$ | SmPolicyDecision\.qosDecs\. | SmPolicyDecision\.qosChars\.,32,SmPolicyDecision.pccRules.refQosData | SmPolicyDecision.pccRules.refAltQosParams | SmPolicyDecision.qosDecs.qosId | SmPolicyDecision.qosDecs.5qi | SmPolicyDecision.qosDecs.maxbrUl | SmPolicyDecision.qosDecs.maxbrDl | SmPolicyDecision.qosDecs.gbrUl | SmPolicyDecision.qosDecs.gbrDl,FIELD_AND_RELATION,T1-R02 | T1-R09,V-PCF,"Auth,Ctx,Deriv",CONDITIONAL,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A03,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Charging-data reference substitution,SmPolicyDecision\.pccRules\.refChg(Data|N3gData)$ | SmPolicyDecision\.chgDecs\.,14,SmPolicyDecision.pccRules.refChgData | SmPolicyDecision.pccRules.refChgN3gData | SmPolicyDecision.chgDecs.chgId | SmPolicyDecision.chgDecs.meteringMethod | SmPolicyDecision.chgDecs.offline | SmPolicyDecision.chgDecs.online | SmPolicyDecision.chgDecs.sdfHandl | SmPolicyDecision.chgDecs.ratingGroup,FIELD_AND_RELATION,T1-R02 | T1-R04,V-PCF,"Auth,Ctx,Attr,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A04,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Charging-reference removal suppression,SmPolicyDecision\.pccRules\.refChg(Data|N3gData)$,2,SmPolicyDecision.pccRules.refChgData | SmPolicyDecision.pccRules.refChgN3gData,FIELD_AND_RELATION,T1-R02 | T1-R04 | T1-R12,V-PCF,"Auth,Comp,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A05,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Duplicate charging attribution at policy layer,SmPolicyDecision\.pccRules\.(flowInfos|appId|precedence|refChgData) | SmPolicyDecision\.chgDecs\.,30,SmPolicyDecision.pccRules.flowInfos.flowDescription | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.destMacAddr | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.ethType | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDesc | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDir | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.sourceMacAddr | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.vlanTags | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.srcMacAddrEnd,FIELD_AND_RELATION,T1-R04 | T1-R05,V-PCF,"Uniq,Auth,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A06,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),IP flow-description scope expansion,SmPolicyDecision\.pccRules\.flowInfos\.flowDescription$ | SmPolicyDecision\.pccRules\.flowInfos\.fDesc$,1,SmPolicyDecision.pccRules.flowInfos.flowDescription,FIELD_AND_RELATION,T1-R04 | T1-R05,V-PCF,"Auth,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A07,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Ethernet selector scope expansion,SmPolicyDecision\.pccRules\.flowInfos\.ethFlowDescription\.,8,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.destMacAddr | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.ethType | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDesc | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDir | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.sourceMacAddr | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.vlanTags | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.srcMacAddrEnd | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.destMacAddrEnd,FIELD_AND_RELATION,T1-R04,V-PCF,"Auth,Ctx,Attr",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W3_ASYMMETRIC_UL_DL
T1-A08,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Auxiliary packet-filter selector substitution,SmPolicyDecision\.pccRules\.flowInfos\.(tosTrafficClass|spi|flowLabel|flowDirection|packetFilterUsage|packFiltId)$,6,SmPolicyDecision.pccRules.flowInfos.packFiltId | SmPolicyDecision.pccRules.flowInfos.packetFilterUsage | SmPolicyDecision.pccRules.flowInfos.tosTrafficClass | SmPolicyDecision.pccRules.flowInfos.spi | SmPolicyDecision.pccRules.flowInfos.flowLabel | SmPolicyDecision.pccRules.flowInfos.flowDirection,FIELD_AND_RELATION,T1-R04,V-PCF,"Auth,Sem,Deriv",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W3_ASYMMETRIC_UL_DL
T1-A09,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),PCC precedence capture,SmPolicyDecision\.pccRules\.(precedence|packFiltAllPrec)$,2,SmPolicyDecision.pccRules.precedence | SmPolicyDecision.pccRules.packFiltAllPrec,FIELD_AND_RELATION,T1-R05,V-PCF,"Auth,Ctx,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A10,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Application identity substitution,SmPolicyDecision\.pccRules\.(appId|appDescriptor|contVer)$,3,SmPolicyDecision.pccRules.appId | SmPolicyDecision.pccRules.appDescriptor | SmPolicyDecision.pccRules.contVer,FIELD_AND_RELATION,T1-R04 | T1-R10,V-PCF,"Ctx,Attr,Deriv",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A11,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Selective PCC-rule deletion or omission,SmPolicyDecision\.pccRules\.,48,SmPolicyDecision.pccRules.flowInfos.flowDescription | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.destMacAddr | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.ethType | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDesc | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDir | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.sourceMacAddr | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.vlanTags | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.srcMacAddrEnd,FIELD_AND_RELATION,T1-R04 | T1-R12,V-PCF,"Auth,Comp,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A12,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Duplicate PCC-rule insertion,SmPolicyDecision\.pccRules\.,48,SmPolicyDecision.pccRules.flowInfos.flowDescription | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.destMacAddr | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.ethType | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDesc | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDir | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.sourceMacAddr | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.vlanTags | SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.srcMacAddrEnd,FIELD_AND_RELATION,T1-R01 | T1-R04,V-PCF,"Uniq,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A13,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Rating-Group substitution,SmPolicyDecision\.chgDecs\.ratingGroup$,1,SmPolicyDecision.chgDecs.ratingGroup,FIELD_AND_RELATION,T1-R04,V-PCF,"Ctx,Attr,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A14,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Service-Identifier substitution,SmPolicyDecision\.chgDecs\.serviceId$,1,SmPolicyDecision.chgDecs.serviceId,FIELD_AND_RELATION,T1-R04,V-PCF,"Ctx,Attr",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A15,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Metering-method substitution,SmPolicyDecision\.chgDecs\.meteringMethod$,1,SmPolicyDecision.chgDecs.meteringMethod,FIELD_AND_RELATION,T1-R08,V-PCF,"Auth,Acc,Comp,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W7_TIME_BOUNDARY
